no;questions;category0
140;Where is the Orinoco ?;LOCATION
141;What was the name of the `` Little Rascals '' dog ?;ENTITY
142;What city boasts Penn 's Landing , on the banks of the Delaware river ?;LOCATION
143;What Broadway musical was inspired by Cervantes 's Don Quixote ?;ENTITY
144;What is the origin of the word , JJ .;DESCRIPTION
145;How many hostages were killed in the Entebbe raid ?;NUMERIC
146;How you can raise your IQ ?;DESCRIPTION
147;What does INRI stand for when used on Jesus ' cross ?;ABBREVIATION
148;Who produces Spumante ?;HUMAN
149;Who earns their money the hard way ?;HUMAN
150;Who founded the People 's Temple Commune ?;HUMAN
151;What athlete makes the most money from sports merchandise sales ?;HUMAN
152;How many bends are there in a standard paper clip ?;NUMERIC
153;Who discovered electricity ?;HUMAN
154;What part of your body contains the corpus callosum ?;ENTITY
155;Who was the first American in space ?;HUMAN
156;What two South American countries do n't border Brazil ?;LOCATION
157;What album put The Beatles on the cover of Time in 1967 ?;ENTITY
158;What poem contains the line , `` grow old with me the best is yet to be '' .;ENTITY
159;What is a dental root canal ?;DESCRIPTION
160;What war did the Wanna-Go-Home Riots occur after ?;ENTITY
161;What is the busiest air travel season ?;NUMERIC
162;What 's the colored part of the eye called ?;ENTITY
163;What are hook worms ?;DESCRIPTION
164;Where is the Rose Bowl played ?;LOCATION
165;Which Japanese car maker had its biggest percentage of sale in the domestic market ?;HUMAN
166;Who is the mayor of Marbella ?;HUMAN
167;What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?;LOCATION
168;In what year did Thatcher become prime minister ?;NUMERIC
169;How many months does it take the moon to revolve around the Earth ?;NUMERIC
170;Where are the 49 steps ?;LOCATION
171;In what year was De Gaulle elected president of France ?;NUMERIC
172;Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?;HUMAN
173;Who directed `` Jaws '' ?;HUMAN
174;On what T.V. show could Tom Terrific be found ?;ENTITY
175;What Indian tribe is F Troop perpetually doing battle with ?;HUMAN
176;Where did Indian Pudding come from ?;DESCRIPTION
177;Why do some clothing labels say `` Use a nonchlorine bleach '' ?;DESCRIPTION
178;How many colonies were involved in the American Revolution ?;NUMERIC
179;What is the name of the city that Maurizio Pellegrin lives in ?;LOCATION
180;Where can I find pictorial directions on how to build a very simple treehouse ?;LOCATION
181;What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?;ENTITY
182;What is the name of the managing director of Apricot Computer ?;HUMAN
183;What is the occupation of Nicholas Cage ?;HUMAN
184;Why do horseshoes bring luck ?;DESCRIPTION
185;What is the 401 , K , plan ?;DESCRIPTION
186;What causes pneumonia ?;DESCRIPTION
187;What are the three winter months in the southern hemisphere ?;NUMERIC
188;What does gringo mean ?;DESCRIPTION
189;What country contains Africa 's northernmost point ?;LOCATION
190;What therapy attempts to elicit the `` primal scream '' ?;ENTITY
191;Where is the Kalahari desert ?;LOCATION
192;Which Ventura County police department seized the largest cocaine shipment in it 's history ?;HUMAN
193;What city is sometimes called Gotham ?;LOCATION
194;What dangles over the tongue from the palate ?;ENTITY
195;Who created Dennis the Menace ?;HUMAN
196;What dummy received an honorary degree from Northwestern University ?;HUMAN
197;When was the first Wall Street Journal published ?;NUMERIC
198;What countries have the largest areas of forest ?;LOCATION
199;How do I start a web based business ?;DESCRIPTION
200;Name Alvin 's brothers;HUMAN
201;What is Eagle 's syndrome styloid process ?;DESCRIPTION
202;How did Jayne Mansfield die ?;DESCRIPTION
203;When did the royal wedding of Prince Andrew and Fergie take place ?;NUMERIC
204;What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?;HUMAN
205;What explorer was nicknamed Iberia 's Pilot ?;HUMAN
206;CNN began broadcasting in what year ?;NUMERIC
207;What is a ball that hits the foul pole called ?;ENTITY
208;What makes hamburgers taste like steakburgers ?;DESCRIPTION
209;Which company created the Internet browser Mosaic ?;HUMAN
210;What are the rites accompanying the circumcision of a newly born-child in Judaism called ?;ENTITY
211;What was the education system in the 1960 's ?;ENTITY
212;What South American city has the world 's highest commercial landing field ?;LOCATION
213;How can I find out which cities have cable-modem access ?;DESCRIPTION
214;What is Betsy Ross famous for ?;DESCRIPTION
215;How many species of sharks are there ?;NUMERIC
216;What is `` snoogans '' ?;DESCRIPTION
217;How many people are there in the world ?;NUMERIC
218;What shrubs can be planted that will be safe from deer ?;ENTITY
219;What organization 's offices were broken into at Watergate in 1972 ?;HUMAN
220;What is the design of the ship Titanic ?;DESCRIPTION
221;What does S.O.S. stand for ?;ABBREVIATION
222;Name a technique widely used to detect birth defects ?;ENTITY
223;What is the daily requirement of folic acid for an expectant mother ?;DESCRIPTION
224;What is the `` 7-minute cigarette '' ?;DESCRIPTION
225;What four forms does gold occur in ?;ENTITY
226;What is the acreage of the Chappellet vineyard ?;NUMERIC
227;How do you correctly say the word ` qigong ' ?;DESCRIPTION
228;When did beethoven die ?;NUMERIC
229;How much does a new railroad coal car cost ?;NUMERIC
230;What two European countries entered the War of American Independence against the British ?;LOCATION
231;What is the filmmakers collabrative ?;DESCRIPTION
232;What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?;HUMAN
233;What caused Harry Houdini 's death ?;DESCRIPTION
234;Who was the mother of the man who would not be king , the duke of Windsor ?;HUMAN
235;How many revolutions does a standard LP make in three minutes ?;NUMERIC
236;What is the name of the tallest mountain in the world ?;LOCATION
237;Where can I find a review of Nightmare on Elm Street in a film journal ?;LOCATION
238;What 's the slowest Olympic swimming stroke ?;ENTITY
239;What was the name of the first Russian astronaut to do a spacewalk ?;HUMAN
240;What disease is transmitted by the Anopheles mosquito ?;ENTITY
241;What rum is so `` mixable '' it is a one-brand bar ?;ENTITY
242;How many South American countries have the letter Z in their names ?;NUMERIC
243;What is the contents of proposition 98 ?;DESCRIPTION
244;Where was George Washington born ?;LOCATION
245;How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .;NUMERIC
246;Who wrote NN DT NNP NNP '' ?;HUMAN
247;What is paracetamol ?;DESCRIPTION
248;What are the powers and weaknesses of Green Lantern 's ring ?;DESCRIPTION
249;Which mosquito 's bite draws blood , DT NN CC DT NN .;ENTITY
250;When was the first steel mill in the United States built ?;NUMERIC
251;What diminutive American female gymnast stole the show at the 1984 Olympics ?;HUMAN
252;What is the origin of the name Katie ?;DESCRIPTION
253;What schools in the Washington , DC NN NN VBP NN NN NN NN .;HUMAN
254;When did the Berlin Wall go up ?;NUMERIC
255;Who is Terrence Malick ?;HUMAN
256;What instrument is Ray Charles best known for playing ?;ENTITY
257;What 's the meaning of the Latin battle cry : Ad arma , ad arma .;DESCRIPTION
258;What is the mascot for Notre Dame University ?;ENTITY
259;What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?;LOCATION
260;When did Mount St. Helen last have a significant eruption ?;NUMERIC
261;CNN is the abbreviation for what ?;ABBREVIATION
262;When did World War I start ?;NUMERIC
263;How many feet are there in a fathom ?;NUMERIC
264;What is a Canada two-penny black ?;DESCRIPTION
265;What European city do Nicois live in ?;LOCATION
266;How can I find out what year a Beanie Baby was introduced ?;DESCRIPTION
267;What is the classic definition of tragic hero ?;DESCRIPTION
268;To what does Microsoft 's Windows 3 owe its success ?;ENTITY
269;Who was President of Afghanistan in 1994 ?;HUMAN
270;What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?;ENTITY
271;What did brontosauruses eat ?;ENTITY
272;What color bottles do good Rhine wines come in ?;ENTITY
273;Who was the lead actress in the movie ` Sleepless in Seattle ' ?;HUMAN
274;Who was the 16th President of the United States ?;HUMAN
275;Who are the two sons of Ozzie and Harriet Nelson ?;HUMAN
276;What is molybdenum ?;DESCRIPTION
277;When is Boxing Day ?;NUMERIC
278;What is the lowest level of the American judiciary ?;ENTITY
279;When was the battle of the Somme fought ?;NUMERIC
280;How many people did Randy Craft kill ?;NUMERIC
281;What 's the official animal of Canada ?;ENTITY
282;When did Spielberg direct `` Jaws '' ?;NUMERIC
283;What is the size of the largest akita ?;NUMERIC
284;What animal has the biggest eyes ?;ENTITY
285;What is California 's capital ?;LOCATION
286;Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?;HUMAN
287;Who was the founding member of the Pink Floyd band ?;HUMAN
288;What European country is home to the beer-producing city of Budweis ?;LOCATION
289;How do I find the balance of my social security account ?;DESCRIPTION
290;What is the history of Valentine 's Day cards ?;DESCRIPTION
291;Where was Christopher Columbus born ?;LOCATION
292;What do Italians call Florence ?;ENTITY
293;How do you get to the top of the Eiffel Tower ?;DESCRIPTION
294;What does ` PSI ' stand for ?;ABBREVIATION
295;What sea did the Romans call mare nostrum ?;LOCATION
296;What 's the term for a bet before cards are dealt ?;ENTITY
297;Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?;ENTITY
298;What city did the Flintstones live in ?;LOCATION
299;What is Latin for incompetent ?;ENTITY
300;What chemicals are used in lethal injection ?;ENTITY
301;What toy company is the world 's No.1 maker of female apparel ?;HUMAN
302;What board game does a `` wood-pusher '' play poorly ?;ENTITY
303;Which Doonesbury character was likely to turn into a werewolf ?;HUMAN
304;What is the abbreviation for micro ?;ABBREVIATION
305;What are the 7 articles of the constitution ?;ENTITY
306;Who has won the most Super Bowls ?;HUMAN
307;What does NASDAQ stand for ?;ABBREVIATION
308;What is BPH ?;ABBREVIATION
309;What is the fastest commercial automobile that can be bought in the US ?;ENTITY
310;What stadium do the Miami Dolphins play their home games in ?;LOCATION
311;Who has the only speaking role in `` Silent Movie '' ?;HUMAN
312;Why is poop sometimes different colors ?;DESCRIPTION
313;What was Einstein 's IQ ?;NUMERIC
314;What day was Pearl Harbor attacked in 1942 ?;NUMERIC
315;What girl 's name is `` Teddy '' an affectionate form of ?;HUMAN
316;What state is John F. Kennedy buried in ?;LOCATION
317;What is the best way to remove wallpaper ?;ENTITY
318;What U.S. state has an element named for it ?;LOCATION
319;What company tabulates the ballots in voting for the Academy Awards ?;HUMAN
320;How did the tradition of best man start ?;DESCRIPTION
321;How many years ago did the ship Titanic sink ?;NUMERIC
322;What is the deepest area of the Arctic Ocean ?;LOCATION
323;What are Halloween 's colors ?;ENTITY
324;How is silk screening done ?;DESCRIPTION
325;What is the latitude and longitude of El Paso , Texas ?;NUMERIC
326;Who made a boat out of gopher wood ?;HUMAN
327;Where can I find a `` Fifth Element '' screensaver ?;LOCATION
328;Which Bloom County resident wreaks havoc with a computer ?;HUMAN
329;How do you match a name to a social security number ?;DESCRIPTION
330;How does a rainbow form ?;DESCRIPTION
331;What is the normal resting heart rate of a healthy adult ?;NUMERIC
332;What is the population of Ohio ?;NUMERIC
333;How many calories are there in a Big Mac ?;NUMERIC
334;Hazmat stands for what ?;DESCRIPTION
335;What creature scares people in the film `` Jaws '' ?;ENTITY
336;What part did John Peter Zenger play in the deveopment of the newspaper in America ?;HUMAN
337;Who followed Caesar ?;HUMAN
338;What are the four elements ?;ENTITY
339;Who was the first woman golfer to earn a million ?;HUMAN
340;What 's the tallest piece on a chessboard ?;ENTITY
341;What is Answers.com 's address ?;LOCATION
342;Where can I buy movies on videotape online ?;LOCATION
343;Who does the advertizing for Frito-Lay ?;HUMAN
344;Who is the leading competitor of Trans Union Company ?;HUMAN
345;What product did Robert Conrad dare people to knock off his shoulder ?;ENTITY
346;Who invented the radio ?;HUMAN
347;What 's the American dollar equivalent for 8 pounds in the U.K. ?;NUMERIC
348;What are the different approaches of systems analysis ?;ENTITY
349;How do doctors diagnose bone cancer ?;DESCRIPTION
350;Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?;HUMAN
351;What is the speed of the Mississippi River ?;NUMERIC
352;What are the developmental stages of a swimmer ?;ENTITY
353;What actor first portrayed James Bond ?;HUMAN
354;What ocean is the largest in the world ?;LOCATION
355;Who was the first American poet to win the Nobel Prize for literature , in 1948 ?;HUMAN
356;What year did Jack Nicklaus join the Professional Golfers Association tour ?;NUMERIC
357;How many sonnets did Shakespeare write ?;NUMERIC
358;What causes the redness in your cheeks when you blush ?;DESCRIPTION
359;Who won the Nobel Peace Prize in 1991 ?;HUMAN
360;Who are the Challengers of the Unknown ?;HUMAN
361;Define the Pheonix Club ?;DESCRIPTION
362;Which city did Christian Crusaders fight to recapture from the Muslims ?;LOCATION
363;What does it mean `` Rupee Depreciates '' ?;DESCRIPTION
364;What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?;ENTITY
365;Who was the first coach of the Cleveland Browns ?;HUMAN
366;How successful is arometherapy ?;DESCRIPTION
367;What Jewish holiday saw the start of the 1973 Mideast War ?;ENTITY
368;How does a copier work ?;DESCRIPTION
369;What is the speed of the Mississippi River ?;NUMERIC
370;Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?;HUMAN
371;What is Dudley Do-Right 's horse 's name ?;ENTITY
372;Who declared : `` I am down on whores and I shan 't stop ripping them '' ?;HUMAN
373;Where does chocolate come from ?;LOCATION
374;What TV game show once saw a contestant admit to picking his toes in the shower ?;ENTITY
375;What Soviet leader owned a Rolls-Royce ?;HUMAN
376;Where can I find a case on Individuals with Disabilities Education Act of 1991 ?;LOCATION
377;What war did Florence Nightingale tend the troops in ?;ENTITY
378;Who wrote the song , `` Stardust '' ?;HUMAN
379;How many Beatles ' records went #1 ?;NUMERIC
380;Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?;HUMAN
381;What is the abbreviation of the company name ` General Motors ' ?;ABBREVIATION
382;What mountains lie between the Arkansas and Missouri rivers ?;LOCATION
383;Who received the Will Rogers Award in 1989 ?;HUMAN
384;What is the function of RAM ?;DESCRIPTION
385;What 's the closest G2 Spectrum Yellow Dwarf to Earth ?;LOCATION
386;How many equal angles are there in an isosceles triangle ?;NUMERIC
387;What is the fear of cockroaches called ?;ENTITY
388;What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?;ENTITY
389;What is the use of a 24-hour clock instead of a 12-hour clock ?;DESCRIPTION
390;What was the name of the lawyer who represented Randy Craft ?;HUMAN
391;What United States President had dreamed that he was assassinated ?;HUMAN
392;What film did Lee Marvin win the 1965 best actor Oscar for ?;ENTITY
393;Where is Basque country located ?;LOCATION
394;What product does `` Mrs. Olsen '' promote ?;ENTITY
395;What time of day did Emperor Hirohito die ?;NUMERIC
396;What is dry ice ?;DESCRIPTION
397;What 's the most powerful card in Euchre ?;ENTITY
398;What does `` intractable plantar keratoma '' mean ?;DESCRIPTION
399;How many years did it take James Joyce to write Ulysses ?;NUMERIC
400;What crop failure caused the Irish Famine ?;ENTITY
401;What South Korean city is served by Kimpo International Airport ?;LOCATION
402;How many types of dogs ' tails are there - three;NUMERIC
403;What is the longest-running television series ?;ENTITY
404;What predators exist on Antarctica ?;ENTITY
405;What is the difference between a generator and an alternator ?;DESCRIPTION
406;How is energy created ?;DESCRIPTION
407;What beer advertised that it had `` three rings '' ?;ENTITY
408;What is the quantity of American soldiers still unaccounted for from the Vietnam war ?;NUMERIC
409;What golfing accessory was patented by George Grant on December 12;ENTITY
410;What are the different types of plastic ?;ENTITY
411;How is it correct to say ` qigong ' ?;DESCRIPTION
412;What was the highest mountain on earth before Mount Everest was discovered ?;LOCATION
413;Where was the Ligurian Republic , 1797-185 , ?;LOCATION
414;What country 's people are the top television watchers ?;LOCATION
415;When was the women 's suffrage amendment ratified ?;NUMERIC
416;What Polynesian people inhabit New Zealand ?;HUMAN
417;What movie tour of the Roman empire features the admonition : `` Row well and live '' ?;ENTITY
418;What Nevada center has been dubbed The Biggest Little City in the World ?;LOCATION
419;What President lived at 219 North Delaware Street , Independence , Missouri ?;HUMAN
420;Give a reason for American Indians oftentimes dropping out of school .;DESCRIPTION
421;Where must a soccer goalie stand to be permitted to handle the ball ?;LOCATION
422;What is the difference between classical conditioning and operant conditioning ?;DESCRIPTION
423;In what U.S. state was the first woman governor elected ?;LOCATION
424;What are some interesting facts and information about dogsledding ?;DESCRIPTION
425;What year did Hitler die ?;NUMERIC
426;What famous model was married to Billy Joel ?;HUMAN
427;What kind of animal is Babar ?;ENTITY
428;What is Jane Goodall known for ?;DESCRIPTION
429;What killed Bob Marley ?;ENTITY
430;How much money are Dumbo 's ears insured for ?;NUMERIC
431;Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?;HUMAN
432;Who is Stein Eriksen ?;HUMAN
433;What does the name Billie mean ?;DESCRIPTION
434;Who is the fastest swimmer in the world ?;HUMAN
435;What is the highest peak in Africa ?;LOCATION
436;Where is Procter &amp;
437;What desert has been called The Garden of Allah ?;LOCATION
438;What do bicornate animals have two of ?;ENTITY
439;What function does a community 's water tower serve ?;DESCRIPTION
440;What is a fear of weakness ?;ENTITY
441;How many miles is it to Ohio from North Carolina ?;NUMERIC
442;How much snow equals an inch of rain ?;NUMERIC
443;What does G.M.T. stand for ?;ABBREVIATION
444;What does Inuit and Eskimo mean ?;DESCRIPTION
445;What song served as the closing theme of The Johnny Cash Show ?;ENTITY
446;What field sport did dentist William Beers promote and write a standard book of rules for ?;ENTITY
447;How do I tie dye clothes ?;DESCRIPTION
448;When does the average teenager first have intercourse ?;NUMERIC
449;Why doesn 't www.answers.com have any answers to my questions ?;DESCRIPTION
450;What actor 's autobiography is titled All My Yesterdays ?;HUMAN
451;What Russian master spy lived in the U.S. under the name Emil Goldfus ?;HUMAN
452;Where 's the 19th hole on a golf course ?;LOCATION
453;What 's nature 's purpose for tornadoes ?;DESCRIPTION
454;Who played the original Charlie 's Angels ?;HUMAN
455;Where can I find a person 's address from a telephone number ?;LOCATION
456;What English word comes from the Old French covrefeu , meaning cover fire ?;ENTITY
457;What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?;ENTITY
458;Where did Sarge Steel get his metal hand ?;LOCATION
459;What makes popcorn pop ?;DESCRIPTION
460;Who wrote The Night of the Iguana ?;HUMAN
461;Where does your hair grow the fastest ?;ENTITY
462;What country did King Gustav V reign over from 197 to 195 ?;LOCATION
463;Who painted Mother and Child ?;HUMAN
464;What is the speed of the Mississippi River ?;NUMERIC
465;In what area of the world was the Six Day War fought ?;LOCATION
466;What is the brightest star visible from Earth ?;LOCATION
467;What film marked Robert Redford 's directorial debut ?;ENTITY
468;What was Mao 's second name ?;HUMAN
469;What film or films has Jude Law appeared in ?;ENTITY
470;Where do hyenas live ?;LOCATION
471;Who is the `` Queen Mother '' ?;HUMAN
472;What 's the most commonly-spoken language in Belgium ?;ENTITY
473;Who has more DNA - a man or a woman ?;HUMAN
474;What are Maid-Rites ?;DESCRIPTION
475;What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?;ENTITY
476;What level of government or governmental agency is responsible for dealing with racism ?;HUMAN
477;How many referees work a soccer game ?;NUMERIC
478;What cocktail do you concoct with whisky and sweet vermouth ?;ENTITY
479;How do you say `` fresh '' in Spanish ?;ENTITY
480;What do bee hives do in cranberry bogs ?;DESCRIPTION
481;What caused the Lynmouth floods ?;DESCRIPTION
482;When is the Tulip Festival in Michigan ?;NUMERIC
483;Who came up with the name , El Nino ?;HUMAN
484;What movie did Madilyn Kahn star in with Gene Wilder ?;ENTITY
485;What type of bridge is the Golden Gate Bridge ?;ENTITY
486;What dictator has the nickname `` El Maximo '' ?;HUMAN
487;What stereo manufacturer is `` Slightly ahead of its time '' ?;HUMAN
488;What U.S. city is The Queen of the Pacific ?;LOCATION
489;What TV sitcom character had the maiden name Ethel Potter ?;HUMAN
490;What was the first Lifesaver flavor ?;ENTITY
491;Who kept the most famous diary in the English language ?;HUMAN
492;Where can I find out the top 1 singles ?;LOCATION
493;How many degrees cooler is the inside of a cucumber than the air outside ?;NUMERIC
494;What Spanish artist painted Crucifixion ?;HUMAN
495;What is the Jewish bible called ?;ENTITY
496;Why is the grass green ?;DESCRIPTION
497;What is a firewall ?;DESCRIPTION
498;What spy novelist served as Moscow correspondent for Reuter and The Times of London ?;HUMAN
499;Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?;HUMAN
500;How long does it take for Spider-Man 's web to evaporate ?;NUMERIC
501;Who was Randy Steven Craft 's lawyer ?;HUMAN
502;What was known as the Spice Island ?;LOCATION
503;Who was the first host of Person to Person ?;HUMAN
504;Name the Ranger who was always after Yogi Bear .;HUMAN
